ST,Seat Name Mm,_Id (Hluttawseats.Csv),Party Name Pretty Mm,Uec Party Id,% of Total Valid Total Votes
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ac,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,44.543230927%
Ayeyarwady,အိမ်မဲ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ac,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,55.456769073%
Ayeyarwady,အင်္ဂပူ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1aa,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,13.680333867%
Ayeyarwady,အင်္ဂပူ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1aa,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,86.319666133%
Ayeyarwady,ဟင်္သာတ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a5,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,18.912653135%
Ayeyarwady,ဟင်္သာတ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a5,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,81.087346865%
Ayeyarwady,သာပေါင်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a0,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,29.958693994%
Ayeyarwady,သာပေါင်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a0,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,55.535531058%
Ayeyarwady,သာပေါင်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a0,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,5f3f9035c749de0ddc9de052,14.505774948%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ad,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,44.985660579%
Ayeyarwady,ဝါးခယ်မ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ad,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,55.014339421%
Ayeyarwady,လေးမျက်နှာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a7,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,3.017960684%
Ayeyarwady,လေးမျက်နှာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a7,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,96.982039316%
Ayeyarwady,လပွတ္တာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ae,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,37.133043682%
Ayeyarwady,လပွတ္တာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ae,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,56.922851104%
Ayeyarwady,လပွတ္တာ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ae,ပြည်ထောင်စုမြန်မာနိုင်ငံအမျိုးသားနိုင်ငံရေးအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de03e,5.944105214%
Ayeyarwady,ရေကြည် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a3,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,38.925766979%
Ayeyarwady,ရေကြည် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a3,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,55.434458201%
Ayeyarwady,ရေကြည် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a3,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,5f3f9035c749de0ddc9de052,5.639774821%
Ayeyarwady,မော်လမြိုင်ကျွန်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1af,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,23.798781278%
Ayeyarwady,မော်လမြိုင်ကျွန်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1af,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,63.329443796%
Ayeyarwady,မော်လမြိုင်ကျွန်း မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1af,ပြည်ထောင်စုမြန်မာနိုင်ငံအမျိုးသားနိုင်ငံရေးအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de03e,12.871774925%
Ayeyarwady,မအူပင် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1b0,ခေတ်သစ်ပြည်သူ့ပါတီ,5f3f9035c749de0ddc9de043,3.255834783%
Ayeyarwady,မအူပင် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1b0,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,14.403981984%
Ayeyarwady,မအူပင် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1b0,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,79.219981574%
Ayeyarwady,မအူပင် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1b0,ပြည်ထောင်စုမြန်မာနိုင်ငံအမျိုးသားနိုင်ငံရေးအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de03e,3.120201658%
Ayeyarwady,မြောင်းမြ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ab,ကရင်ပြည်သူ့ပါတီ,5f3f9035c749de0ddc9de035,14.089698798%
Ayeyarwady,မြောင်းမြ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ab,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,11.084604374%
Ayeyarwady,မြောင်းမြ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ab,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,57.612392840%
Ayeyarwady,မြောင်းမြ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ab,ပြည်ထောင်စုမြန်မာနိုင်ငံအမျိုးသားနိုင်ငံရေးအဖွဲ့ချုပ်ပါတီ,5f3f9035c749de0ddc9de03e,3.000477121%
Ayeyarwady,မြောင်းမြ မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1ab,အမျိုးသားဒီမိုကရေစီအင်အားစုပါတီ,5f3f9035c749de0ddc9de052,14.212826867%
Ayeyarwady,မြန်အောင် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a8,တိုင်းရင်းသားစည်းလုံးညီညွတ်ရေးပါတီ,5f3f9035c749de0ddc9de02e,23.006281867%
Ayeyarwady,မြန်အောင် မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1a8,ပြည်ထောင်စုကြံ့ခိုင်ရေးနှင့်ဖွံ့ဖြိုးရေးပါတီ,5f3f9035c749de0ddc9de04c,76.993718133%
Ayeyarwady,ဘိုကလေး မဲဆန္ဒနယ်,5f3f901b97d7fe284063b1b5,ခေတ်သစ်ပြည်သူ့ပါတီ,5f3f9035c749de0ddc9de043,3.382803497%
