Seat Name En,Seat Name Mm,Party Name Pretty En,Uec Id (Parties.Csv),% of Total Valid Total Votes
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,38.438134170%
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,National Unity Party,5f3f9035c749de0ddc9de02e,2.648076502%
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,National Prosperity Party,5f3f9035c749de0ddc9de06e,0.318563399%
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,National League for Democracy,5f3f9035c749de0ddc9de05b,52.182203081%
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,National Development Party,5f3f9035c749de0ddc9de08b,1.403022118%
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,0.923863056%
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Kayin People's Party,5f3f9035c749de0ddc9de035,3.589751077%
Ayeyarwady Constituency 1,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၁,Democratic Party for a New Society,5f3f9035c749de0ddc9de079,0.496386598%
Ayeyarwady Constituency 2,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,41.402586405%
Ayeyarwady Constituency 2,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,National League for Democracy,5f3f9035c749de0ddc9de05b,49.319172209%
Ayeyarwady Constituency 2,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,Myanmar Farmers Development Party,5f3f9035c749de0ddc9de069,4.570138142%
Ayeyarwady Constituency 2,ဧရာဝတီတိုင်းဒေသကြီး မဲဆန္ဒနယ် ၂,Kayin People's Party,5f3f9035c749de0ddc9de035,4.708103244%
