Seat Name En,Party Name Pretty En,Uec Id (Parties.Csv),% of Total Valid Total Votes
Tangyan Constituency 2,Wa Democratic Party,5f3f9035c749de0ddc9de049,5.329153605%
Tangyan Constituency 1,Wa Democratic Party,5f3f9035c749de0ddc9de049,11.243488862%
Matman Constituency 2,Wa Democratic Party,5f3f9035c749de0ddc9de049,35.130061679%
Matman Constituency 1,Wa Democratic Party,5f3f9035c749de0ddc9de049,
Kunlong Constituency 2,Wa Democratic Party,5f3f9035c749de0ddc9de049,36.048756939%
Hopang Constituency 2,Wa Democratic Party,5f3f9035c749de0ddc9de049,
Hopang Constituency 1,Wa Democratic Party,5f3f9035c749de0ddc9de049,
Injangyang Constituency 1,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,55.361305361%
Chipwi Constituency 2,Unity and Democracy Party of Kachin State,5f3f9035c749de0ddc9de054,47.829322749%
Paletwa Constituency 1,United Democratic Party,5f3f9035c749de0ddc9de03c,26.335214937%
Zigon Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,54.547848528%
Zigon Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,
Zalun Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,77.524476670%
Zalun Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,71.355266444%
Ywangan Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,23.396123396%
Ywangan Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,28.214344965%
Yinmarbin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,75.405224380%
Yinmarbin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,64.993752603%
Yesagyo Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,80.620534553%
Yesagyo Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,78.381842624%
Yenangyaung Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,65.063686677%
Yenangyaung Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,62.616655237%
Yegyi Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,53.391839526%
Yegyi Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,
Yedashe Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,60.074962833%
Yedashe Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,69.898592949%
Yebyu Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,32.794733692%
Yebyu Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,51.045348955%
Ye-U Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,68.436787623%
Ye-U Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,68.172880289%
Ye Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,26.144048323%
Ye Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,26.537894655%
Yankin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,60.716957606%
Yankin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,55.864148548%
Yamethin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,80.309602154%
Yamethin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,85.423852106%
Wuntho Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,67.900843213%
Wuntho Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,69.001344579%
Wundwin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,66.646193802%
Wundwin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,65.741690687%
Wetlet Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,80.873726150%
Wetlet Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,89.308788388%
Waw Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,66.356606842%
Waw Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,61.886551944%
Wakema Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,58.540493522%
Wakema Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,45.392878936%
Waingmaw Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,28.631993790%
Twantay Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,71.396742471%
Twantay Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,65.854669285%
Tsawlaw Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,33.333333333%
Toungup Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,61.856886093%
Toungup Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,52.148748372%
Tonzang Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,46.810682089%
Tonzang Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,44.541554108%
Tilin Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,50.793130572%
Tilin Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,41.909061593%
Tigyaing Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,53.056648896%
Tigyaing Constituency 1,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,51.860162456%
Thongwa Constituency 2,Union Solidarity and Development Party,5f3f9035c749de0ddc9de04c,65.863549618%
